Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
transporte uti aérea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,1,13,"7,69%","5,34","5,34","9,09%","90,91%","0,00",0,0,"0,00%","410,77"
uti aérea plano de saúde,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,1,5,"20,00%","4,38","4,38","25,00%","100,00%","0,00",0,0,"0,00%","876,00"
aeromedico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,1,21,"4,76%","6,97","6,97","5,88%","76,47%","0,00",0,0,"0,00%","331,90"
aero médico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,1,2,"50,00%","6,96","6,96","0,00%","100,00%","0,00",0,0,"0,00%","3480,00"
aeromedico brasil,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,1,6,"16,67%","3,87","3,87","50,00%","100,00%","0,00",0,0,"0,00%","645,80"
resgate aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,1,23,"4,35%","19,04","19,04","33,33%","88,89%","0,00",0,0,"0,00%","827,83"
taxi aereo uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,1,5,"20,00%","15,54","15,54","0,00%","100,00%","0,00",0,0,"0,00%","3108,43"
Helicóptero médico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,1,21,"4,76%","3,74","3,74","50,00%","62,50%","0,00",0,0,"0,00%","178,10"
unimed air,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,1,30,"3,33%","8,45","8,45","58,33%","70,83%","0,00",0,0,"0,00%","281,67"
uti aerea mato grosso,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,1,1,"100,00%","4,58","4,58","100,00%","100,00%","0,00",0,0,"0,00%","4582,36"
taxi aereo,Pausado,pausado,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromedico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aérea unimed,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,12,"0,00%",0,"0,00","75,00%","87,50%","0,00",0,0,0,"0,00"
taxiaereo,Pausado,pausado,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti movel aérea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti no ar,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Na média,0,6,"0,00%",0,"0,00","0,00%","16,67%","0,00",0,0,0,"0,00"
remoção aeromedica,Pausado,pausado,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aluguel de avião uti,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avião uti preço,Pausado,pausado,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti movel aerea,Pausado,pausado,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
valor uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,3,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aérea particular,Não qualificado,raramente exibido,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
abaeté taxi aéreo,Pausado,"baixa qualidade, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aero médico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,16,"0,00%",0,"0,00","10,00%","50,00%","0,00",0,0,0,"0,00"
transporte medico aereo,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,3,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
aeronave uti,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea amil,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeromedico brasil,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,26,"0,00%",0,"0,00","10,00%","60,00%","0,00",0,0,0,"0,00"
uti aérea são paulo,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,3,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
amil aviao,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,4,"0,00%",0,"0,00","50,00%","50,00%","0,00",0,0,0,"0,00"
uti helicoptero,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
remocao aerea,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,3,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
dn uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",8,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Na média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
transporte aeromédico curitiba,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
iessp aeromedico,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
aereo medico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,6,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
uti area,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avião ambulância,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,30,"0,00%",0,"0,00","13,33%","80,00%","0,00",0,0,0,"0,00"
taxi aereo uti,Pausado,pausado,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
transporte aereo medico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Na média,0,3,"0,00%",0,"0,00","50,00%","100,00%","0,00",0,0,0,"0,00"
uti aerea sao paulo,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,14,"0,00%",0,"0,00","0,00%","60,00%","0,00",0,0,0,"0,00"
amil resgate aéreo,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti móvel aérea preço,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,0,3,"0,00%",0,"0,00","50,00%","100,00%","0,00",0,0,0,"0,00"
avião hospitalar,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,3,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
transporte e resgate aeromédico,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
remoção aérea de pacientes,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti movel aérea preço,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
valor de uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
taxi aereo uti movel,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",6,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Na média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aéreo,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,3,"0,00%",0,"0,00","50,00%","50,00%","0,00",0,0,0,"0,00"
uti aviao,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
serviço aeromédico,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,13,"0,00%",0,"0,00","37,50%","87,50%","0,00",0,0,0,"0,00"
helicoptero amil,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,3,"0,00%",0,"0,00","33,33%","33,33%","0,00",0,0,0,"0,00"
aeromedico o que é,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,17,"0,00%",0,"0,00","38,46%","76,92%","0,00",0,0,0,"0,00"
transporte aeromedico sp,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
manual de transporte aeromédico,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeronave de transporte médico,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipe de aeromédico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
UTI Aeromédico,Não qualificado,raramente exibido,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aérea quanto custa,Pausado,"baixa qualidade, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea belo horizonte,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aero medico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte e resgate aeromedico,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,2,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
unimed aeromédica telefone,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
transporte aeromedico interhosp,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
serviço aeromedico,Limitado,baixa qualidade,Correspondência exata,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Abaixo da média,Abaixo da média,0,51,"0,00%",0,"0,00","13,33%","86,67%","0,00",0,0,0,"0,00"
atendimento médico aéreo,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar resgate aéreo,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico neonatal,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
